Date,Price,Open,High,Low,Chg%
07-Dec-22,"66,270","65,555","66,400","65,500",1.18%
06-Dec-22,"65,494","65,508","66,177","65,301",0.30%
05-Dec-22,"65,298","66,589","67,379","65,167",-1.67%
02-Dec-22,"66,406","65,141","66,665","65,066",1.58%
01-Dec-22,"65,370","63,650","65,560","63,650",2.83%
30-Nov-22,"63,570","61,755","63,970","61,510",2.94%
29-Nov-22,"61,755","61,626","63,480","61,200",0.74%
28-Nov-22,"61,302","61,634","62,140","61,000",-1.01%
25-Nov-22,"61,928","62,127","62,240","61,483",-0.08%
24-Nov-22,"61,978","61,680","62,255","61,680",0.57%
23-Nov-22,"61,629","61,340","61,710","60,994",0.73%
22-Nov-22,"61,180","61,199","61,777","61,071",0.48%
21-Nov-22,"60,885","60,811","61,037","60,460",-0.45%
18-Nov-22,"61,163","61,437","61,750","60,870",-0.15%
17-Nov-22,"61,257","62,500","62,700","61,024",-1.46%
16-Nov-22,"62,162","61,875","62,962","61,875",0.50%
15-Nov-22,"61,853","62,575","63,145","61,730",-1.10%
14-Nov-22,"62,540","62,010","62,645","61,670",1.20%
11-Nov-22,"61,798","62,205","62,895","61,300",-0.50%
10-Nov-22,"62,107","61,600","62,970","61,370",0.54%
09-Nov-22,"61,772","61,950","62,384","61,447",-0.58%
08-Nov-22,"62,135","60,877","62,450","60,681",1.65%
07-Nov-22,"61,126","60,400","61,486","60,319",0.50%
04-Nov-22,"60,824","58,953","60,990","58,898",3.55%
03-Nov-22,"58,737","59,000","59,000","57,580",-0.83%
02-Nov-22,"59,228","59,499","59,720","59,059",-0.02%
01-Nov-22,"59,238","58,295","59,932","58,295",1.94%
31-Oct-22,"58,111","58,200","58,250","57,576",0.31%
28-Oct-22,"57,933","58,700","58,836","57,550",-1.22%
27-Oct-22,"58,650","58,590","58,900","58,208",0.12%
26-Oct-22,"58,581","58,550","58,826","58,374",0.27%
25-Oct-22,"58,423","57,895","58,576","57,285",0.50%
24-Oct-22,"58,133","58,100","58,417","57,621",0.24%
21-Oct-22,"57,995","57,110","58,070","56,109",1.50%
20-Oct-22,"57,140","56,311","57,662","56,092",1.05%
19-Oct-22,"56,544","56,899","56,955","56,426",-0.54%
18-Oct-22,"56,849","56,861","57,266","56,350",0.07%
17-Oct-22,"56,808","55,999","57,325","55,999",1.70%
14-Oct-22,"55,860","57,744","57,997","55,511",-3.08%
13-Oct-22,"57,633","57,999","58,448","56,749",-0.32%
12-Oct-22,"57,817","58,525","58,582","57,671",-2.03%
11-Oct-22,"59,018","59,158","59,277","58,510",-0.83%
10-Oct-22,"59,513","60,521","60,521","59,270",-2.64%
07-Oct-22,"61,126","61,800","62,200","60,712",-0.84%
06-Oct-22,"61,643","61,500","61,976","61,117",0.94%
05-Oct-22,"61,067","61,700","61,700","59,828",-1.74%
04-Oct-22,"62,147","61,529","62,643","61,335",1.56%
03-Oct-22,"61,194","57,525","61,278","57,451",6.84%
30-Sep-22,"57,274","56,789","57,695","56,707",1.17%
29-Sep-22,"56,612","56,800","56,920","56,187",-0.53%
28-Sep-22,"56,914","55,750","56,989","54,925",1.82%
27-Sep-22,"55,897","56,000","56,618","55,714",0.06%
26-Sep-22,"55,865","56,565","57,220","55,759",-1.49%
23-Sep-22,"56,711","58,460","58,575","56,510",-2.84%
22-Sep-22,"58,368","57,430","58,800","57,337",1.18%
21-Sep-22,"57,687","57,050","58,050","56,912",1.53%
20-Sep-22,"56,817","57,300","57,578","56,611",-0.54%
